station_id,capacity,hour,day_of_week,is_weekend,is_peak_hour,avg_temp,avg_humidity,max_barometric_pressure_hpa,num_bikes_available
89,40,0,6,1,0,13.855,84.7,1002.48,0
9,24,0,6,1,0,13.855,84.7,1002.48,1
90,40,0,6,1,0,13.855,84.7,1002.48,8
91,30,0,6,1,0,13.855,84.7,1002.48,30
92,40,0,6,1,0,13.855,84.7,1002.48,38
93,40,0,6,1,0,13.855,84.7,1002.48,36
94,40,0,6,1,0,13.855,84.7,1002.48,40
95,40,0,6,1,0,13.855,84.7,1002.48,18
96,30,0,6,1,0,13.855,84.7,1002.48,14
97,40,0,6,1,0,13.855,84.7,1002.48,26
98,40,0,6,1,0,13.855,84.7,1002.48,26
99,30,0,6,1,0,13.855,84.7,1002.48,4
10,16,0,6,1,0,13.83,85.7,1002.39,12
104,40,0,6,1,0,13.83,85.7,1002.39,0
109,29,0,6,1,0,13.83,85.7,1002.39,20
11,30,0,6,1,0,13.83,85.7,1002.39,1
113,40,0,6,1,0,13.83,85.7,1002.39,22
114,40,0,6,1,0,13.83,85.7,1002.39,6
115,30,0,6,1,0,13.83,85.7,1002.39,22
116,30,0,6,1,0,13.83,85.7,1002.39,2
117,40,0,6,1,0,13.83,85.7,1002.39,2
13,30,0,6,1,0,13.83,85.7,1002.39,0
14,30,0,6,1,0,13.83,85.7,1002.39,18
15,16,0,6,1,0,13.83,85.7,1002.39,2
16,20,0,6,1,0,13.83,85.7,1002.39,20
17,20,0,6,1,0,13.83,85.7,1002.39,3
18,30,0,6,1,0,13.83,85.7,1002.39,9
2,20,0,6,1,0,13.83,85.7,1002.39,5
20,30,0,6,1,0,13.83,85.7,1002.39,0
21,30,0,6,1,0,13.83,85.7,1002.39,11
22,20,0,6,1,0,13.83,85.7,1002.39,7
24,20,0,6,1,0,13.83,85.7,1002.39,15
25,30,0,6,1,0,13.83,85.7,1002.39,6
27,20,0,6,1,0,13.83,85.7,1002.39,12
28,30,0,6,1,0,13.83,85.7,1002.39,5
29,29,0,6,1,0,13.83,85.7,1002.39,24
3,20,0,6,1,0,13.83,85.7,1002.39,15
30,20,0,6,1,0,13.83,85.7,1002.39,0
33,23,0,6,1,0,13.83,85.7,1002.39,21
34,30,0,6,1,0,13.83,85.7,1002.39,0
35,30,0,6,1,0,13.83,85.7,1002.39,18
36,40,0,6,1,0,13.83,85.7,1002.39,21
38,40,0,6,1,0,13.83,85.7,1002.39,29
39,20,0,6,1,0,13.83,85.7,1002.39,3
4,20,0,6,1,0,13.83,85.7,1002.39,11
42,30,0,6,1,0,13.83,85.7,1002.39,9
44,30,0,6,1,0,13.83,85.7,1002.39,7
45,30,0,6,1,0,13.83,85.7,1002.39,29
48,40,0,6,1,0,13.83,85.7,1002.39,13
49,40,0,6,1,0,13.83,85.7,1002.39,14
5,40,0,6,1,0,13.83,85.7,1002.39,4
50,40,0,6,1,0,13.83,85.7,1002.39,15
52,32,0,6,1,0,13.83,85.7,1002.39,27
53,40,0,6,1,0,13.83,85.7,1002.39,7
54,33,0,6,1,0,13.83,85.7,1002.39,14
55,36,0,6,1,0,13.83,85.7,1002.39,2
58,40,0,6,1,0,13.83,85.7,1002.39,8
60,30,0,6,1,0,13.83,85.7,1002.39,4
64,40,0,6,1,0,13.83,85.7,1002.39,17
65,40,0,6,1,0,13.83,85.7,1002.39,3
67,40,0,6,1,0,13.83,85.7,1002.39,15
68,40,0,6,1,0,13.83,85.7,1002.39,12
69,40,0,6,1,0,13.83,85.7,1002.39,18
72,31,0,6,1,0,13.83,85.7,1002.39,11
73,30,0,6,1,0,13.83,85.7,1002.39,8
74,30,0,6,1,0,13.83,85.7,1002.39,6
8,30,0,6,1,0,13.83,85.7,1002.39,15
80,40,0,6,1,0,13.83,85.7,1002.39,28
82,22,0,6,1,0,13.83,85.7,1002.39,10
83,40,0,6,1,0,13.83,85.7,1002.39,35
84,30,0,6,1,0,13.83,85.7,1002.39,25
85,35,0,6,1,0,13.83,85.7,1002.39,24
86,38,0,6,1,0,13.83,85.7,1002.39,28
87,38,0,6,1,0,13.83,85.7,1002.39,32
89,40,0,6,1,0,13.83,85.7,1002.39,0
9,24,0,6,1,0,13.83,85.7,1002.39,1
91,30,0,6,1,0,13.83,85.7,1002.39,30
92,40,0,6,1,0,13.83,85.7,1002.39,38
93,40,0,6,1,0,13.83,85.7,1002.39,36
94,40,0,6,1,0,13.83,85.7,1002.39,40
95,40,0,6,1,0,13.83,85.7,1002.39,18
97,40,0,6,1,0,13.83,85.7,1002.39,26
98,40,0,6,1,0,13.83,85.7,1002.39,26
99,30,0,6,1,0,13.83,85.7,1002.39,4
10,16,0,6,1,0,13.67,86.65,1002.25,12
104,40,0,6,1,0,13.67,86.65,1002.25,0
108,35,0,6,1,0,13.67,86.65,1002.25,3
109,29,0,6,1,0,13.67,86.65,1002.25,20
11,30,0,6,1,0,13.67,86.65,1002.25,1
112,30,0,6,1,0,13.67,86.65,1002.25,5
113,40,0,6,1,0,13.67,86.65,1002.25,22
114,40,0,6,1,0,13.67,86.65,1002.25,6
115,30,0,6,1,0,13.67,86.65,1002.25,22
116,30,0,6,1,0,13.67,86.65,1002.25,2
13,30,0,6,1,0,13.67,86.65,1002.25,0
14,30,0,6,1,0,13.67,86.65,1002.25,18
15,16,0,6,1,0,13.67,86.65,1002.25,2
17,20,0,6,1,0,13.67,86.65,1002.25,3
18,30,0,6,1,0,13.67,86.65,1002.25,9
2,20,0,6,1,0,13.67,86.65,1002.25,6
20,30,0,6,1,0,13.67,86.65,1002.25,0
21,30,0,6,1,0,13.67,86.65,1002.25,11
22,20,0,6,1,0,13.67,86.65,1002.25,7
24,20,0,6,1,0,13.67,86.65,1002.25,15
27,20,0,6,1,0,13.67,86.65,1002.25,13
28,30,0,6,1,0,13.67,86.65,1002.25,5
29,29,0,6,1,0,13.67,86.65,1002.25,24
3,20,0,6,1,0,13.67,86.65,1002.25,15
30,20,0,6,1,0,13.67,86.65,1002.25,0
33,23,0,6,1,0,13.67,86.65,1002.25,21
34,30,0,6,1,0,13.67,86.65,1002.25,0
35,30,0,6,1,0,13.67,86.65,1002.25,18
36,40,0,6,1,0,13.67,86.65,1002.25,21
38,40,0,6,1,0,13.67,86.65,1002.25,29
39,20,0,6,1,0,13.67,86.65,1002.25,3
4,20,0,6,1,0,13.67,86.65,1002.25,11
42,30,0,6,1,0,13.67,86.65,1002.25,9
44,30,0,6,1,0,13.67,86.65,1002.25,7
45,30,0,6,1,0,13.67,86.65,1002.25,29
48,40,0,6,1,0,13.67,86.65,1002.25,13
49,40,0,6,1,0,13.67,86.65,1002.25,14
5,40,0,6,1,0,13.67,86.65,1002.25,4
50,40,0,6,1,0,13.67,86.65,1002.25,15
52,32,0,6,1,0,13.67,86.65,1002.25,27
53,40,0,6,1,0,13.67,86.65,1002.25,7
54,33,0,6,1,0,13.67,86.65,1002.25,14
55,36,0,6,1,0,13.67,86.65,1002.25,2
58,40,0,6,1,0,13.67,86.65,1002.25,8
60,30,0,6,1,0,13.67,86.65,1002.25,4
62,40,0,6,1,0,13.67,86.65,1002.25,8
64,40,0,6,1,0,13.67,86.65,1002.25,17
65,40,0,6,1,0,13.67,86.65,1002.25,3
67,40,0,6,1,0,13.67,86.65,1002.25,15
68,40,0,6,1,0,13.67,86.65,1002.25,12
69,40,0,6,1,0,13.67,86.65,1002.25,19
72,31,0,6,1,0,13.67,86.65,1002.25,11
73,30,0,6,1,0,13.67,86.65,1002.25,8
74,30,0,6,1,0,13.67,86.65,1002.25,6
8,30,0,6,1,0,13.67,86.65,1002.25,15
80,40,0,6,1,0,13.67,86.65,1002.25,28
82,22,0,6,1,0,13.67,86.65,1002.25,10
83,40,0,6,1,0,13.67,86.65,1002.25,35
84,30,0,6,1,0,13.67,86.65,1002.25,25
85,35,0,6,1,0,13.67,86.65,1002.25,24
87,38,0,6,1,0,13.67,86.65,1002.25,32
89,40,0,6,1,0,13.67,86.65,1002.25,0
9,24,0,6,1,0,13.67,86.65,1002.25,1
91,30,0,6,1,0,13.67,86.65,1002.25,30
93,40,0,6,1,0,13.67,86.65,1002.25,36
94,40,0,6,1,0,13.67,86.65,1002.25,40
95,40,0,6,1,0,13.67,86.65,1002.25,18
97,40,0,6,1,0,13.67,86.65,1002.25,26
98,40,0,6,1,0,13.67,86.65,1002.25,26
99,30,0,6,1,0,13.67,86.65,1002.25,4
10,16,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,12
104,40,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
105,36,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,0
109,29,1,6,1,0,13.629999999999999,86.80000000000001,1001.99,20
